tkr,td,op,hp,lp,cp,vol,oi,eod
ITC,2024-07-29T00:00:00,505.5,506.2,494.05,496.05,12496895,0,True
ONGC,2024-07-29T00:00:00,333.8,339.55,330.75,332.9,26721790,0,True
NTPC,2024-07-29T00:00:00,404.0,408.3,392.65,393.9,27751449,0,True
COALINDIA,2024-07-29T00:00:00,514.5,515.7,507.5,512.15,7259754,0,True
POWERGRID,2024-07-29T00:00:00,339.8,345.9,337.75,342.35,31849674,0,True
WIPRO,2024-07-29T00:00:00,528.0,530.55,522.85,524.4,6005777,0,True
IOC,2024-07-29T00:00:00,178.0,181.7,178.0,180.39,42913186,0,True
JIOFIN,2024-07-29T00:00:00,334.5,335.2,329.5,330.2,12628377,0,True
TATASTEEL,2024-07-29T00:00:00,164.7,164.7,162.33,162.87,31754833,0,True
IRFC,2024-07-29T00:00:00,185.92,197.5,184.64,195.27,109648645,0,True
ZOMATO,2024-07-29T00:00:00,226.62,229.46,224.1,226.89,40644424,0,True
BEL,2024-07-29T00:00:00,312.8,325.6,310.85,321.35,51391698,0,True
PNB,2024-07-29T00:00:00,124.86,128.8,123.54,127.0,144104708,0,True
BANKBARODA,2024-07-29T00:00:00,254.0,260.75,251.3,255.9,32691314,0,True
BPCL,2024-07-29T00:00:00,333.4,338.95,331.05,337.9,20234464,0,True
PFC,2024-07-29T00:00:00,539.0,554.85,537.0,552.85,11024457,0,True
TATAPOWER,2024-07-29T00:00:00,446.95,450.0,441.0,442.25,13720073,0,True
GAIL,2024-07-29T00:00:00,231.5,234.17,230.0,231.87,12472241,0,True
UNIONBANK,2024-07-29T00:00:00,134.25,137.12,134.25,136.86,15178338,0,True
CANBK,2024-07-29T00:00:00,115.2,117.82,115.01,115.91,51072326,0,True
VEDL,2024-07-29T00:00:00,447.0,455.5,438.0,448.95,45433689,0,True
NHPC,2024-07-29T00:00:00,105.25,105.78,104.26,105.36,36122083,0,True
IDBI,2024-07-29T00:00:00,105.0,107.9,103.4,104.07,53710826,0,True
BHEL,2024-07-29T00:00:00,327.0,327.0,319.1,323.05,25820136,0,True
MOTHERSON,2024-07-29T00:00:00,198.0,199.13,193.8,195.72,19608987,0,True
INDUSTOWER,2024-07-29T00:00:00,448.9,449.0,441.1,443.4,10917593,0,True
INDIANB,2024-07-29T00:00:00,589.0,599.9,583.5,587.25,2811831,0,True
HINDPETRO,2024-07-29T00:00:00,386.0,389.3,378.8,381.05,14114983,0,True
BERGEPAINT,2024-07-29T00:00:00,545.5,546.6,537.75,538.8,881090,0,True
OIL,2024-07-29T00:00:00,565.7,592.9,556.7,580.4,9295179,0,True
BANKINDIA,2024-07-29T00:00:00,120.85,126.16,120.4,125.14,24362585,0,True
NMDC,2024-07-29T00:00:00,240.1,245.98,239.25,244.19,10284790,0,True
GICRE,2024-07-29T00:00:00,412.9,418.8,401.9,403.5,3335028,0,True
SAIL,2024-07-29T00:00:00,149.14,150.0,146.8,147.74,15136406,0,True
JSWINFRA,2024-07-29T00:00:00,347.0,349.3,341.0,342.15,1794639,0,True
ASHOKLEY,2024-07-29T00:00:00,249.0,258.85,249.0,256.35,28698736,0,True
SJVN,2024-07-29T00:00:00,149.4,152.25,147.9,150.83,25730974,0,True
NYKAA,2024-07-29T00:00:00,183.51,185.33,182.29,182.85,1441249,0,True
ABCAPITAL,2024-07-29T00:00:00,225.0,225.22,222.5,223.82,3957127,0,True
KALYANKJIL,2024-07-29T00:00:00,571.95,582.0,555.35,572.65,2281355,0,True
AWL,2024-07-29T00:00:00,328.0,349.7,327.1,344.6,14356770,0,True
PETRONET,2024-07-29T00:00:00,370.95,374.4,367.65,370.85,4386843,0,True
L&TFH,2024-04-22T00:00:00,161.65,164.95,160.7,163.75,3010283,0,True
MRPL,2024-07-29T00:00:00,216.01,221.65,214.0,220.17,4877109,0,True
HUDCO,2024-07-29T00:00:00,316.05,319.65,311.35,317.1,15123187,0,True
NIACL,2024-07-29T00:00:00,291.0,295.0,276.5,280.28,7017043,0,True
FEDERALBNK,2024-07-29T00:00:00,199.21,202.19,198.14,201.01,21488147,0,True
IREDA,2024-07-29T00:00:00,261.0,268.35,257.01,266.01,28683160,0,True
POONAWALLA,2024-07-29T00:00:00,380.0,384.85,377.55,381.05,2199811,0,True
M&MFIN,2024-07-29T00:00:00,295.0,304.8,295.0,303.15,2530835,0,True
UPL,2024-07-29T00:00:00,548.05,566.5,545.5,553.15,4404641,0,True
DELHIVERY,2024-07-29T00:00:00,401.0,415.9,400.0,412.4,5657360,0,True
FORTIS,2024-07-29T00:00:00,513.35,517.15,495.35,496.6,762874,0,True
BIOCON,2024-07-29T00:00:00,370.8,370.8,359.8,361.85,4052190,0,True
NLCINDIA,2024-07-29T00:00:00,289.95,293.57,284.5,286.0,3540132,0,True
IGL,2024-07-29T00:00:00,545.0,555.0,541.3,544.15,1798902,0,True
APOLLOTYRE,2024-07-29T00:00:00,557.0,564.6,546.0,551.75,2850913,0,True
JUBLFOOD,2024-07-29T00:00:00,583.1,597.8,577.35,590.85,3982298,0,True
BANDHANBNK,2024-07-29T00:00:00,203.0,220.0,200.11,218.87,133627172,0,True
EIHOTEL,2024-07-29T00:00:00,425.4,438.8,420.55,435.55,1102146,0,True
NATIONALUM,2024-07-29T00:00:00,190.95,193.6,189.21,191.68,8776782,0,True
HINDCOPPER,2024-07-29T00:00:00,318.3,321.0,314.75,315.8,3145736,0,True
EXIDEIND,2024-07-29T00:00:00,557.0,560.0,549.4,551.9,3570024,0,True
PAYTM,2024-07-29T00:00:00,512.75,518.3,490.0,494.05,8506569,0,True
ITI,2024-07-29T00:00:00,310.0,313.8,305.55,308.1,1099503,0,True
KIOCL,2024-07-29T00:00:00,460.35,463.7,456.05,461.5,118871,0,True
NBCC,2024-07-29T00:00:00,175.5,188.8,173.83,187.6,51650690,0,True
KANSAINER,2024-07-29T00:00:00,277.0,284.15,276.5,281.7,1924351,0,True
LAURUSLABS,2024-07-29T00:00:00,450.0,454.85,445.1,451.0,1693940,0,True
IRCON,2024-07-29T00:00:00,277.4,302.4,277.2,299.1,31430780,0,True
ASTERDM,2024-07-29T00:00:00,332.15,344.7,332.15,342.0,1872414,0,True
GSPL,2024-07-29T00:00:00,332.35,343.6,332.35,335.4,1185876,0,True
ABFRL,2024-07-29T00:00:00,333.0,343.0,329.3,340.05,6591242,0,True
CASTROLIND,2024-07-29T00:00:00,268.25,272.0,265.41,268.3,8663689,0,True
DEVYANI,2024-07-29T00:00:00,178.0,180.3,175.32,179.98,3374662,0,True
IDFC,2024-07-29T00:00:00,110.5,113.2,110.5,111.73,9465694,0,True
CIEINDIA,2024-07-29T00:00:00,597.5,597.5,575.85,581.0,460913,0,True
SUMICHEM,2024-07-29T00:00:00,534.15,540.45,518.05,533.75,2895425,0,True
CROMPTON,2024-07-29T00:00:00,444.9,448.5,427.1,432.2,9118472,0,True
PPLPHARMA,2024-07-29T00:00:00,168.0,171.0,164.15,170.28,7186024,0,True
INOXWIND,2024-07-29T00:00:00,175.31,180.96,171.55,173.61,17002539,0,True
CGCL,2024-07-29T00:00:00,210.94,212.55,209.41,210.0,157328,0,True
REDINGTON,2024-07-29T00:00:00,214.5,219.49,211.85,212.8,1306121,0,True
JYOTHYLAB,2024-07-29T00:00:00,555.0,561.3,532.0,537.45,1248928,0,True
